RowName,PalleteQty,InboundLine,Supplier,ProductCode,ProductName,InboundPosition,Date,,
1,2,G,(二??꾩씠留덉폆肄붾━??1000700281,"?뚰듃?덊빖?쒗??ш컝?됱?,DC,BROWN,BROWN,5000留?諛뺤뒪",O,2025.01.01,,,
2,2,F,二쇱떇?뚯궗 ?쇱쁺?꾨쫫,1000700278,"?묒??낇궓,10000留?BOX,DC",N,2025.01.01,,
3,1,E,二쇱떇?뚯궗?⑤쭣?몃뱶,1000736225,"(釉뚮윴移섎퉰)?ъ?諛뷀뙆?곕뜑,DC,?쒖썝?앺뭹?곗뾽,1KG/PAC",M,2025.01.01,,
4,1,D,(二??쒕툕??1000700233,"?쇳쉶?⑺룷??DC,?먯옉?섎Т,L140mm,100EA/PAC",L,2025.01.01,,,
5,2,C,(二??쒕툕??1000700239,"?쇳쉶?⑸굹?댄봽,DC,?먯옉?섎Т,L140mm,100EA/PAC",K,2025.01.01,,,
6,1,H,?붾줈紐ъ뿏?고봽?쇱씠利덉＜?앺쉶??1000695370,"?쒗??щ━釉뚯삤???щ쭏??DC,?댄깉由ъ븘??5L/EA",J,2025.01.01,,,
7,2,G,濡?뜲?곸궗(二??덉꽦怨듭옣,1000738024,"?,?덈?誘멸컖怨좎떆?덉뭅由?DC,援?궛,濡?뜲?곸궗,10KG/PAC",I,2025.01.01,,
8,4,F,愿묐났?곷냽議고빀踰뺤씤,1000162821,"?,?먮８踰뚯?,DC,援?궛,愿묐났?곷냽,20KG/PAC",H,2025.01.01,,
9,2,E,?붿썝?꾩젙怨듭옣,1000119514,"?,吏꾩긽誘?DC,援?궛,?붿썝?꾩젙,20KG/PAC",G,2025.01.01,,
10,3,H,(二??띿떖,1000684000,"?좊씪硫닿굔硫?DC,?띿떖,3.88KG(97G*40EA)/BOX",L,2025.01.01,,
11,1,E,(二??띿떖,1000687085,"?源?곕룞,?곗궗諛?DC,?띿떖,1.776KG(111G*16EA)/BOX",O,2025.01.01,,
12,2,F,(二??띿떖,1000687089,"吏쒗뙆寃뚰떚,DC,?띿떖,4.2KG(140G*30EA)/BOX",P,2025.01.01,,
13,3,G,(二??띿떖,1000687091,"?↔컻???щ컻硫?DC,?띿떖,2.064KG(86G*24EA)/BOX",Q,2025.01.01,,
14,1,H,(二??띿떖,1000687092,"?곗쑁???곗궗諛?DC,?띿떖,1.84KG(115G*16EA)/BOX",R,2025.01.01,,
15,2,C,(二??띿떖,1000687096,"?덉꽦?뺣㈃,DC,?띿떖,6KG(125G*48EA)/BOX",S,2025.01.01,,
16,2,D,(二??띿떖,1000687097,"?좊씪硫??곗궗諛쒕㈃,DC,?띿떖,1.824KG(114G*16EA)/BOX",T,2025.01.01,,
17,1,E,(二??띿떖,1000687102,"?덉슦???곗궗諛쒕㈃,DC,?띿떖,1.84KG(115G*16EA)/BOX",A,2025.01.01,,
18,1,F,(二??띿떖,1000687103,"?щ━硫??쇰㈃?щ━,DC,?띿떖,3.3KG(110G*30EA)/BOX",B,2025.01.01,,
19,1,C,(二??띿떖,1000687111,"?덇뎄由?DC,?띿떖,3.6KG(120G*30EA)/BOX",M,2025.01.01,,
20,4,D,(二??띿떖,1000721308,"?좊씪硫?DC,?띿떖,3.6KG(120G*30EA)/BOX?",N,2025.01.01,,
21,3,D,(二??띿떖,1000758808,"?덉슦源〓???DC,?띿떖,960G(30G*32EA)/BOX",F,2025.01.01,,
22,2,G,(二??띿떖,1000678107,"?곗튂?ㅽ룷??DC(諛뺤뒪),355ML*24EA/BOX,8.52KG",C,2025.01.01,,
23,2,H,(二??띿떖,1000716720,"諛깆궛??臾대씪踰?,DC,?앹닔:湲몃┝??諛깅몢??,?띿떖,10L(500ML*20EA)/BOX",D,2025.01.01,,
24,2,C,(二??띿떖,1000721309,"移댄봽由ъ뜫二쇱뒪,?ㅻ젋吏,DC,?띿떖,2KG(200G*10EA)/BOX",E,2025.01.01,,
25,3,F,?몄??몃뱶 ?띿뾽?뚯궗踰뺤씤 二쇱떇?뚯궗,1000649403,"?앺삙?섑듃,DC,?욧린由?援?궡???섎뒛泥?1.8L/EA",J,2025.01.01,,
26,2,G,?몄??몃뱶 ?띿뾽?뚯궗踰뺤씤 二쇱떇?뚯궗,1000694720,"[H]?좉린?띾갈?뚯뾾?붿떇??DC,?섎뒛泥?125ML/EA,24EA/BOX",K,2025.01.01,,
27,1,E,(二? ?랁삊?좏넻 ??꾨냽?곕Ъ醫낇빀?좏넻?쇳꽣,1000697112,"?,癒몃뱶?섍퀬?μ?,DC,援?궛,留뚯꽭蹂대졊?랁삊,20KG/PAC",I,2025.01.01,,
28,3,G,(二??⑥븣?몃뱶,1000661845,"肄섏떆由ъ뼹諛?DC,?μ닔???멸뎅???꾨젅?쒖뒪,240G(20G*12EA)/PAC",E,2025.01.01,,
29,2,H,(二??⑥븣?몃뱶,1000695022,"轅?ㅻ??ㅻ컮,DC,?⑥븣?몃뱶,360G(30G*12EA)/PAC",F,2025.01.01,,
30,1,C,(二??⑥븣?몃뱶,1000695037,"79肄섏슂援щⅤ?몃컮,DC,?⑥븣?몃뱶,300G(25G*12EA)/PAC",G,2025.01.01,,
31,1,D,(二??⑥븣?몃뱶,1000713042,"留덉떆硫쒕줈?щ윴移섎쭅?쒕━??DC,?⑥븣?몃뱶,1KG/PAC",H,2025.01.01,,
32,4,F,(二?李멸퀬????怨듭옣,1000680058,"諛깅Ъ??DC,?μ닔???멸뎅??李멸퀬??9KG/EA",R,2025.01.01,,
33,1,G,(二?李멸퀬????怨듭옣,1000693846,"諛깅Ъ??DC,?μ닔?? ?멸뎅??李멸퀬??5KG/EA",S,2025.01.01,,
34,1,H,(二?李멸퀬????怨듭옣,1000730149,"留쏆엳?붿같留쏄퀬異붿옣(VB),DC,李멸퀬??14KG/EA",T,2025.01.01,,
35,2,C,(二?李멸퀬????怨듭옣,1000730150,"援ъ닔?쒕맂??VB),DC,????멸뎅??李멸퀬??14KG/EA",A,2025.01.01,,
36,2,D,(二?李멸퀬????怨듭옣,1000730217,"留쏆엳?붿뙂??VB),DC,????멸뎅???꾨젅?쒖뒪,李멸퀬??14KG/EA",B,2025.01.01,,
37,1,E,??쒖젣??二?,1000661491,"?섏??ㅽ깢,DC,??쒖젣??3KG/PAC",C,2025.01.01,,
38,2,F,??쒖젣??二?,1000661496,"?묒꽕??DC,??쒖젣??1KG/PAC",D,2025.01.01,,
39,2,E,(二? ?랁삊?좏넻 ??꾨냽?곕Ъ醫낇빀?좏넻?쇳꽣,1000672088,"?,援용쑉??DC,援?궛,遺?щ냽??20KG/PAC",Q,2025.01.01,,
40,1,H,?⑥젣?댁젣?쇱젣??二?,1000757331,"?ㅽ뙵罹?DC,?덉쑁:?멸뎅??援?궛,CJ,1.81KG/EA",N,2025.01.01,,
41,3,C,?⑥젣?댁젣?쇱젣??二?,1000739074,"?앹슜???댄뵾?ㅽ뫜),DC,????멸뎅??CJ,18L/EA",O,2025.01.01,,
42,1,D,?⑥젣?댁젣?쇱젣??二?,1000612564,"媛덉깋?ㅽ깢,DC,CJ,15KG/PAC",P,2025.01.01,,
43,2,G,?⑥젣?댁젣?쇱젣??二?,1000684817,"?ㅼ냽吏꾪븳?ㅼ떆,DC,CJ,2KG/EA",M,2025.01.01,,
44,1,E,?⑥젣?댁젣?쇱젣??二?,1000730167,"?뚯갔怨좎텛??VB),DC,?댁갔??14KG/EA",K,2025.01.01,,
45,2,F,?⑥젣?댁젣?쇱젣??二?,1000730237,"?ш퀎?덉뙂??VB),DC,?댁갔??3KG/EA",L,2025.01.01,,
46,2,C,(二???깆궛??1000757636,"(?몃뱶李⑥?)NEW?뚮즺而?32?⑥뒪),?щ챸,DC,500EA/BOX",I,2025.01.01,,,
47,1,D,(二???깆궛??1000734913,"(?몃뱶李⑥?)?뚮즺?붾━??92MM,14/20?⑥뒪)/?щ챸而?,1000EA/BOX",J,2025.01.01,,,
48,2,D,濡?뜲移좎꽦?뚮즺(二?,1000625267,"?⑹떆肄쒕씪(?묒?罹?,DC,190ML/EA,30EA/BOX",R,2025.01.01,,
49,1,G,濡?뜲移좎꽦?뚮즺(二?,1000625273,"?⑹떆肄쒕씪罹?DC,250ML/EA,30EA/BOX",A,2025.01.01,,
50,4,H,濡?뜲移좎꽦?뚮즺(二?,1000625276,"?ㅻ젋吏二쇱뒪??DC,?몃が??190ML/EA,24EA/BOX",B,2025.01.01,,
51,1,C,濡?뜲移좎꽦?뚮즺(二?,1000625279,"移좎꽦?ъ씠???묒?罹?,DC,190ML/EA,30EA/BOX",C,2025.01.01,,
52,3,D,濡?뜲移좎꽦?뚮즺(二?,1000625280,"移좎꽦?ъ씠?ㅼ틪,DC,?낆냼??355ML/EA,24EA/BOX",D,2025.01.01,,
53,2,E,濡?뜲移좎꽦?뚮즺(二?,1000625284,"?щ룄?쒕쭅?ы뙥,DC,?몃が??190ML/EA",E,2025.01.01,,
54,1,F,濡?뜲移좎꽦?뚮즺(二?,1000625285,"?덉벐鍮꾩빱?쇱틪,DC,175ML/EA",F,2025.01.01,,
55,2,G,濡?뜲移좎꽦?뚮즺(二?,1000707108,"?몃젅鍮꾨씪??罹?,?꾩궛??DC,355ML/EA,24EA/BOX",G,2025.01.01,,
56,3,H,濡?뜲移좎꽦?뚮즺(二?,1000707110,"?몃젅鍮꾨젅紐?罹?,?꾩궛??DC,355ML/EA,24EA/BOX",H,2025.01.01,,
57,3,E,濡?뜲移좎꽦?뚮즺(二?,1000720840,"?쒕줈移좎꽦?ъ씠?ㅼ틪,DC,250ML/EA,30EA/BOX",S,2025.01.01,,
58,1,F,濡?뜲移좎꽦?뚮즺(二?,1000720924,"移좎꽦?ъ씠???낆냼?⑺렖,DC,1.25L/EA",T,2025.01.01,,
