RowName,PalleteQty,InboundLine,Supplier,ProductCode,ProductName,InboundPosition,Date
1,1,G,(주)아이마켓코리아,1000700281,"파트너핸드타올갈색지,DC,BROWN,BROWN,5000매/박스",O,2025.01.02
2,1,F,주식회사 삼영필름,1000700278,"접지냅킨,10000매/BOX,DC",N,2025.01.02
3,2,E,주식회사온맘푸드,1000736225,"(브런치빈)투움바파우더,DC,태원식품산업,1KG/PAC",M,2025.01.02
4,2,D,(주)서브원,1000700233,"일회용포크,DC,자작나무,L140mm,100EA/PAC",L,2025.01.02
5,2,C,(주)서브원,1000700239,"일회용나이프,DC,자작나무,L140mm,100EA/PAC",K,2025.01.02
6,2,H,솔로몬엔터프라이즈주식회사,1000695370,"시타올리브오일,포마스,DC,이탈리아산,5L/EA",J,2025.01.02
7,2,G,롯데상사(주)안성공장,1000738024,"쌀,절대미각고시히카리,DC,국산,롯데상사,10KG/PAC",I,2025.01.02
8,1,F,광복영농조합법인,1000162821,"쌀,두룸벌쌀,DC,국산,광복영농,20KG/PAC",H,2025.01.02
9,1,E,화원도정공장,1000119514,"쌀,진상미,DC,국산,화원도정,20KG/PAC",G,2025.01.02
10,1,H,(주)농심,1000684000,"신라면건면,DC,농심,3.88KG(97G*40EA)/BOX",L,2025.01.02
11,2,E,(주)농심,1000687085,"튀김우동,큰사발,DC,농심,1.776KG(111G*16EA)/BOX",O,2025.01.02
12,2,F,(주)농심,1000687089,"짜파게티,DC,농심,4.2KG(140G*30EA)/BOX",P,2025.01.02
13,1,G,(주)농심,1000687091,"육개장,사발면,DC,농심,2.064KG(86G*24EA)/BOX",Q,2025.01.02
14,1,H,(주)농심,1000687092,"우육탕,큰사발,DC,농심,1.84KG(115G*16EA)/BOX",R,2025.01.02
15,2,C,(주)농심,1000687096,"안성탕면,DC,농심,6KG(125G*48EA)/BOX",S,2025.01.02
16,2,D,(주)농심,1000687097,"신라면,큰사발면,DC,농심,1.824KG(114G*16EA)/BOX",T,2025.01.02
17,1,E,(주)농심,1000687102,"새우탕,큰사발면,DC,농심,1.84KG(115G*16EA)/BOX",A,2025.01.02
18,1,F,(주)농심,1000687103,"사리면,라면사리,DC,농심,3.3KG(110G*30EA)/BOX",B,2025.01.02
19,1,C,(주)농심,1000687111,"너구리,DC,농심,3.6KG(120G*30EA)/BOX",M,2025.01.02
20,1,D,(주)농심,1000721308,"신라면,DC,농심,3.6KG(120G*30EA)/BOX　",N,2025.01.02
21,1,D,(주)농심,1000758808,"새우깡미니,DC,농심,960G(30G*32EA)/BOX",F,2025.01.02
22,2,G,(주)농심,1000678107,"웰치스포도,DC(박스),355ML*24EA/BOX,8.52KG",C,2025.01.02
23,1,H,(주)농심,1000716720,"백산수(무라벨),DC,생수:길림성(백두산),농심,10L(500ML*20EA)/BOX",D,2025.01.02
24,2,C,(주)농심,1000721309,"카프리썬주스,오렌지,DC,농심,2KG(200G*10EA)/BOX",E,2025.01.02
25,1,F,세준푸드 농업회사법인 주식회사,1000649403,"식혜페트,DC,엿기름:국내산,하늘청,1.8L/EA",J,2025.01.02
26,2,G,세준푸드 농업회사법인 주식회사,1000694720,"[H]유기농밥알없는식혜,DC,하늘청,125ML/EA,24EA/BOX",K,2025.01.02
27,2,E,(주) 농협유통 대전농산물종합유통센터,1000697112,"쌀,머드의고향쌀,DC,국산,만세보령농협,20KG/PAC",I,2025.01.02
28,3,G,(주)씨알푸드,1000661845,"콘시리얼바,DC,옥수수:외국산,후레시스,240G(20G*12EA)/PAC",E,2025.01.02
29,2,H,(주)씨알푸드,1000695022,"꿀오란다바,DC,씨알푸드,360G(30G*12EA)/PAC",F,2025.01.02
30,2,C,(주)씨알푸드,1000695037,"79콘요구르트바,DC,씨알푸드,300G(25G*12EA)/PAC",G,2025.01.02
31,2,D,(주)씨알푸드,1000713042,"마시멜로크런치링시리얼,DC,씨알푸드,1KG/PAC",H,2025.01.02
32,1,F,(주)참고을 제2공장,1000680058,"백물엿,DC,옥수수:외국산,참고을,9KG/EA",R,2025.01.02
33,1,G,(주)참고을 제2공장,1000693846,"백물엿,DC,옥수수: 외국산,참고을,5KG/EA",S,2025.01.02
34,1,H,(주)참고을 제2공장,1000730149,"맛있는찰맛고추장(VB),DC,참고을,14KG/EA",T,2025.01.02
35,2,C,(주)참고을 제2공장,1000730150,"구수한된장(VB),DC,대두:외국산,참고을,14KG/EA",A,2025.01.02
36,2,D,(주)참고을 제2공장,1000730217,"맛있는쌈장(VB),DC,대두:외국산,후레시스,참고을,14KG/EA",B,2025.01.02
37,1,E,대한제당(주),1000661491,"하얀설탕,DC,대한제당,3KG/PAC",C,2025.01.02
38,2,F,대한제당(주),1000661496,"흑설탕,DC,대한제당,1KG/PAC",D,2025.01.02
39,2,E,(주) 농협유통 대전농산물종합유통센터,1000672088,"쌀,굿뜨래,DC,국산,부여농협,20KG/PAC",Q,2025.01.02
40,1,H,씨제이제일제당(주),1000757331,"스팸캔,DC,돈육:외국산,국산,CJ,1.81KG/EA",N,2025.01.02
41,2,C,씨제이제일제당(주),1000739074,"식용유(해피스푼),DC,대두:외국산,CJ,18L/EA",O,2025.01.02
42,1,D,씨제이제일제당(주),1000612564,"갈색설탕,DC,CJ,15KG/PAC",P,2025.01.02
43,2,G,씨제이제일제당(주),1000684817,"실속진한다시,DC,CJ,2KG/EA",M,2025.01.02
44,1,E,씨제이제일제당(주),1000730167,"알찬고추장(VB),DC,해찬들,14KG/EA",K,2025.01.02
45,2,F,씨제이제일제당(주),1000730237,"사계절쌈장(VB),DC,해찬들,3KG/EA",L,2025.01.02
46,2,C,(주)대성산업,1000757636,"(푸드차지)NEW음료컵(32온스),투명,DC,500EA/BOX",I,2025.01.02
47,1,D,(주)대성산업,1000734913,"(푸드차지)음료돔리드(92MM,14/20온스)/투명컵,,1000EA/BOX",J,2025.01.02
48,2,D,롯데칠성음료(주),1000625267,"펩시콜라(작은캔),DC,190ML/EA,30EA/BOX",R,2025.01.02
49,1,G,롯데칠성음료(주),1000625273,"펩시콜라캔,DC,250ML/EA,30EA/BOX",A,2025.01.02
50,1,H,롯데칠성음료(주),1000625276,"오렌지주스팩,DC,델몬트,190ML/EA,24EA/BOX",B,2025.01.02
51,2,C,롯데칠성음료(주),1000625279,"칠성사이다(작은캔),DC,190ML/EA,30EA/BOX",C,2025.01.02
52,1,D,롯데칠성음료(주),1000625280,"칠성사이다캔,DC,업소용,355ML/EA,24EA/BOX",D,2025.01.02
53,2,E,롯데칠성음료(주),1000625284,"포도드링크팩,DC,델몬트,190ML/EA",E,2025.01.02
54,1,F,롯데칠성음료(주),1000625285,"레쓰비커피캔,DC,175ML/EA",F,2025.01.02
